STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;INCOMING_MSG;OUTGOING_MSG;SIGNAL_RANGE
120;12.0s;car1;car3;22.770032886922937;110.04510533717608;[];[];48.61501904177178
120;12.0s;car2;car1;24.749777176806013;73.69532816037008;[];[];48.61501904177178
121;12.1s;car1;car3;22.970550826867424;111.34841220729771;[];[];48.61501904177178
121;12.1s;car2;car1;24.64964834845187;75.09876385884584;[];[];48.61501904177178
122;12.2s;car1;car3;23.17106876681191;112.65171907741933;[];[];48.61501904177178
122;12.2s;car2;car1;24.549519520097725;76.50219955732162;[];[];48.61501904177178
123;12.3s;car1;car3;23.371586706756396;113.95502594754096;[];[];48.61501904177178
123;12.3s;car2;car1;24.44939069174358;77.90563525579739;[];[];48.61501904177178
124;12.4s;car1;car3;23.572104646700883;115.25833281766259;[];[];48.61501904177178
124;12.4s;car2;car1;24.34926186338943;79.30907095427317;[];[];48.61501904177178
125;12.5s;car1;car3;23.77262258664537;116.56163968778421;[];[];48.61501904177178
125;12.5s;car2;car1;24.249133035035285;80.71250665274894;[];[];48.61501904177178
126;12.6s;car1;car3;23.973140526589855;117.86494655790584;[];[];48.61501904177178
126;12.6s;car2;car1;24.149004206681134;82.11594235122472;[];[];48.61501904177178
127;12.7s;car1;car3;24.17365846653434;119.16825342802747;[];[];48.61501904177178
127;12.7s;car2;car1;24.04887537832699;83.51937804970049;[];[];48.61501904177178
128;12.8s;car1;car3;24.374176406478828;120.4715602981491;[];[];48.61501904177178
128;12.8s;car2;car1;23.94874654997284;84.92281374817627;[];[];48.61501904177178
129;12.9s;car1;car3;24.574694346423314;121.77486716827073;[];[];48.61501904177178
129;12.9s;car2;car1;23.848617721618695;86.32624944665204;[];[];48.61501904177178
130;13.0s;car1;car3;24.775212286367804;123.07817403839235;[];[];48.61501904177178
130;13.0s;car2;car1;23.748488893264543;87.72968514512782;[];[];48.61501904177178
131;13.1s;car1;car3;24.975730226312294;124.38148090851398;[];[];48.61501904177178
131;13.1s;car2;car1;23.6483600649104;89.13312084360359;[];[];48.61501904177178
132;13.2s;car1;car3;25.176248166256777;125.68478777863561;[];[];48.61501904177178
132;13.2s;car2;car1;23.548231236556248;90.53655654207937;[];[];48.61501904177178
133;13.3s;car1;car3;25.376766106201266;126.98809464875723;[];[];48.61501904177178
133;13.3s;car2;car1;23.448102408202104;91.93999224055514;[];[];48.61501904177178
134;13.4s;car1;car3;25.57728404614575;128.29140151887887;[];[];48.61501904177178
134;13.4s;car2;car1;23.347973579847956;93.34342793903092;[];[];48.61501904177178
135;13.5s;car1;car3;25.77780198609024;129.5947083890005;[];[];48.61501904177178
135;13.5s;car2;car1;23.24784475149381;94.74686363750669;[];[];48.61501904177178
136;13.6s;car1;car3;25.97831992603472;130.8980152591221;[];[];48.61501904177178
136;13.6s;car2;car1;23.14771592313966;96.15029933598247;[];[];48.61501904177178
137;13.7s;car1;car3;26.17883786597921;132.20132212924375;[];[];48.61501904177178
137;13.7s;car2;car1;23.047587094785513;97.55373503445823;[];[];48.61501904177178
138;13.8s;car1;car3;26.379355805923694;133.50462899936537;[];[];48.61501904177178
138;13.8s;car2;car1;22.947458266431372;98.957170732934;[];[];48.61501904177178
139;13.9s;car1;car3;26.579873745868177;134.807935869487;[];[];48.61501904177178
139;13.9s;car2;car1;22.84732943807723;100.36060643140978;[];[];48.61501904177178
140;14.0s;car1;car3;26.78039168581266;136.11124273960863;[];[];48.61501904177178
140;14.0s;car2;car1;22.747200609723087;101.76404212988555;[];[];48.61501904177178
141;14.1s;car1;car3;26.980909625757143;137.41454960973027;[];[];48.61501904177178
141;14.1s;car2;car1;22.647071781368943;103.16747782836133;[];[];48.61501904177178
142;14.2s;car1;car3;27.181427565701625;138.7178564798519;[];[];48.61501904177178
142;14.2s;car2;car1;22.546942953014803;104.5709135268371;[];[];48.61501904177178
143;14.3s;car1;car3;27.381945505646108;140.02116334997353;[];[];48.61501904177178
143;14.3s;car2;car1;22.446814124660662;105.97434922531288;[];[];48.61501904177178
144;14.4s;car1;car3;27.58246344559059;141.32447022009515;[];[];48.61501904177178
144;14.4s;car2;car1;22.346685296306518;107.37778492378865;[];[];48.61501904177178
145;14.5s;car1;car3;27.782981385535074;142.6277770902168;[];[];48.61501904177178
145;14.5s;car2;car1;22.246556467952374;108.78122062226441;[];[];48.61501904177178
146;14.6s;car1;car3;27.983499325479556;143.9310839603384;[];[];48.61501904177178
146;14.6s;car2;car1;22.146427639598233;110.18465632074019;[];[];48.61501904177178
147;14.7s;car1;car3;28.18401726542404;145.23439083046006;[];[];48.61501904177178
147;14.7s;car2;car1;22.046298811244093;111.58809201921596;[];[];48.61501904177178
148;14.8s;car1;car3;28.384535205368522;146.53769770058167;[];[];48.61501904177178
148;14.8s;car2;car1;21.946169982889952;112.99152771769174;[];[];48.61501904177178
149;14.9s;car1;car3;28.585053145313005;147.84100457070332;[];[];48.61501904177178
149;14.9s;car2;car1;21.84604115453581;114.39496341616751;[];[];48.61501904177178
150;15.0s;car1;car3;28.785571085257487;149.14431144082494;[];[];48.61501904177178
150;15.0s;car2;car1;21.74591232618167;115.79839911464327;[];[];48.61501904177178
151;15.1s;car1;car3;28.98608902520197;150.44761831094658;[];[];48.61501904177178
151;15.1s;car2;car1;21.64578349782753;117.20183481311905;[];[];48.61501904177178
152;15.2s;car1;car3;29.186606965146453;151.7509251810682;[];[];48.61501904177178
152;15.2s;car2;car1;21.54565466947339;118.60527051159482;[];[];48.61501904177178
153;15.3s;car1;car3;29.38712490509094;153.0542320511898;[];[];48.61501904177178
153;15.3s;car2;car1;21.44552584111924;120.00870621007059;[];[];48.61501904177178
154;15.4s;car1;car3;29.587642845035425;154.35753892131146;[];[];48.61501904177178
154;15.4s;car2;car1;21.3453970127651;121.41214190854636;[];[];48.61501904177178
