STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
89;8.9s;car2;obs;58.024000000000015;30.575999999999986;[];-60@car2-wlan1
90;9.0s;car1;car3;16.754494688588398;70.94589923352721;[];-60@car1-wlan1
90;9.0s;car2;obs;56.750000000000014;31.849999999999987;[];-60@car2-wlan1
91;9.1s;car1;car3;16.955012628532884;72.24920610364885;[];-60@car1-wlan1
91;9.1s;car2;obs;55.45000000000002;33.149999999999984;[];-60@car2-wlan1
92;9.2s;car1;car3;17.15553056847737;73.55251297377048;[];-60@car1-wlan1
92;9.2s;car2;obs;54.12400000000002;34.475999999999985;[];-60@car2-wlan1
93;9.3s;car1;car3;17.356048508421857;74.8558198438921;[];-60@car1-wlan1
93;9.3s;car2;obs;52.77200000000002;35.82799999999998;[];-60@car2-wlan1
94;9.4s;car1;car3;17.556566448366343;76.15912671401372;[];-60@car1-wlan1
94;9.4s;car2;obs;51.39400000000002;37.20599999999998;[];-60@car2-wlan1
95;9.5s;car1;car3;17.75708438831083;77.46243358413535;[];-60@car1-wlan1
95;9.5s;car2;obs;49.990564301524245;38.60943569847576;[];-60@car2-wlan1
96;9.6s;car1;car3;17.95760232825532;78.76574045425699;[];-60@car1-wlan1
96;9.6s;car2;obs;48.58712860304847;40.01287139695153;[];-60@car2-wlan1
97;9.7s;car1;car3;18.158120268199806;80.0690473243786;[];-60@car1-wlan1
97;9.7s;car2;obs;47.183692904572695;41.41630709542731;[];-60@car2-wlan1
98;9.8s;car1;car3;18.358638208144292;81.37235419450025;[];-60@car1-wlan1
98;9.8s;car2;obs;45.78025720609692;42.81974279390308;[];-60@car2-wlan1
99;9.9s;car1;car3;18.559156148088775;82.67566106462186;[];-60@car1-wlan1
99;9.9s;car2;obs;44.376821507621145;44.22317849237886;[];-60@car2-wlan1
100;10.0s;car1;car3;18.759674088033254;83.97896793474351;[];-60@car1-wlan1
100;10.0s;car2;No leader;No leader;45.62661419085463;[];-60@car2-wlan1
101;10.1s;car1;car3;18.960192027977737;85.28227480486512;[];-60@car1-wlan1
101;10.1s;car2;No leader;No leader;47.03004988933041;[];-60@car2-wlan1
102;10.2s;car1;car3;19.16070996792222;86.58558167498677;[];-60@car1-wlan1
102;10.2s;car2;No leader;No leader;48.43348558780618;[];-60@car2-wlan1
103;10.3s;car1;car3;19.361227907866702;87.88888854510839;[];-60@car1-wlan1
103;10.3s;car2;No leader;No leader;49.83692128628195;[];-60@car2-wlan1
104;10.4s;car1;car3;19.56174584781119;89.19219541523003;[];-60@car1-wlan1
104;10.4s;car2;No leader;No leader;51.240356984757724;[];-60@car2-wlan1
